"2013-02-28 UPC",Anonymous,"20140108 1201 36",,HR0L98QNR3HLFCK9PASF.raster
"2013-01-31 KPN",Anonymous,"20140108 2058 41",,C1VZ3AX5AS7HX35C2BWA.raster
"2013-04-19 KPN",Anonymous,"20140109 1115 31",,YT9QFC3RWER558IDOD40.raster
"2013-02-06 Ziggo",Anonymous,"20140109 1147 20",,F4AZK6T9WKMJCNI3ZFUM.raster
"2013-05-22 Vodafone",Anonymous,"20140109 1351 26",,4ZEA21UUBN3V46OTTH2K.raster
"2013-05-23 Vodafone",Anonymous,"20140109 1429 48",,X8FSJM7GS6B4A51COTP3.raster
"2013-01-29 Vodafone",Anonymous,"20140109 1435 08",,PTQEYOGA9OQCAGEHYGAQ.raster
"2013-05-23 T-Mobile",Anonymous,"20140109 1539 51",,WDMA3UI4ERSOWBXCITMZ.raster
"2013-06-03 T-Mobile",Anonymous,"20140109 1553 41",,XFUBS91AUJ7JQAK7IJF1.raster
"2013-05-14 T-mobile",Anonymous,"20140109 1607 11",,8PL0I5AL9UBP5844VKBC.raster
